Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16248140,Dangerous Refuge,Elizabeth Lowell,"Lowell, Elizabeth",,"=""0062132717""","=""9780062132710""",3,3.65,Avon,Hardcover,384,2013,2013,2025/08/15,2025/08/15,,,read,,,,1,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2025/08/05,to-read,to-read (#83),to-read,,,,0,0
43522576,Imaginary Friend,Stephen Chbosky,"Chbosky, Stephen",,"=""1538731339""","=""9781538731338""",3,3.55,Grand Central Publishing,Hardcover,705,2019,2019,2025/07/29,2025/08/02,,,read,,,,1,0
29103642,Waking Olivia,Elizabeth O'Roark,"O'Roark, Elizabeth",,"=""098981355X""","=""9780989813556""",1,4.11,Elizabeth O'Roark,Paperback,378,2016,2016,2025/07/03,2025/07/03,,,read,,,,1,0
229717312,"Releasing 10 (Boys of Tommen, #6)",Chloe Walsh,"Walsh, Chloe",,"=""1464248524""","=""9781464248528""",4,4.56,Bloom Books,Kindle Edition,765,2025,2025,2025/06/05,2025/07/03,,,read,,,,1,0
194931971,"Broken (Manhattan Ruthless, #1)",Sadie Kincaid,"Kincaid, Sadie",,"=""""","=""""",2,4.17,Red House Press Ltd,Kindle Edition,400,2024,,2025/06/07,2025/07/03,,,read,,,,1,0
199793431,The Mighty Red,Louise Erdrich,"Erdrich, Louise",,"=""0063277050""","=""9780063277052""",3,3.83,Harper,Hardcover,384,2024,2024,2025/05/14,2025/07/03,,,read,,,,1,0
209568782,"Wild Eyes (Rose Hill, #2)",Elsie Silver,"Silver, Elsie",,"=""1464220824""","=""9781464220821""",3,4.27,Bloom Books,Paperback,464,2024,2024,2025/04/16,2025/03/23,,,read,,,,1,0
217465190,"Wild Side (Rose Hill, #3)",Elsie Silver,"Silver, Elsie",,"=""""","=""""",4,4.19,,Kindle Edition,466,2025,2025,2025/03/10,2025/03/10,,,read,,,,1,0
217923287,Ravaged Hearts (Team Zulu #5),Julie  Weaver,"Weaver, Julie",,"=""0645930164""","=""9780645930160""",2,4.16,Epic Press,Kindle Edition,266,2024,2024,2025/02/28,2025/02/28,,,read,,,,1,0
