Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13456414,A Short Stay in Hell,Steven L. Peck,"Peck, Steven L.",,"=""098374842X""","=""9780983748427""",0,4.17,Strange Violin Editions,Paperback,104,2012,2011,,2025/10/21,to-read,to-read (#331),to-read,,,,0,0
18283207,Strange Weather in Tokyo,Hiromi Kawakami,"Kawakami, Hiromi",Allison Markin Powell,"=""1846275083""","=""9781846275081""",0,3.68,Portobello Books,Paperback,176,2013,2001,,2025/10/18,to-read,to-read (#330),to-read,,,,0,0
3181564,The Housekeeper and the Professor,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""0312427808""","=""9780312427801""",0,4.05,Picador,Paperback,180,2009,2005,,2025/10/18,to-read,to-read (#329),to-read,,,,0,0
217163697,My Friends,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982112824""","=""9781982112820""",0,4.43,Atria Books,Hardcover,436,2025,2025,,2025/09/30,to-read,to-read (#328),to-read,,,,0,0
33621427,Home Fire,Kamila Shamsie,"Shamsie, Kamila",,"=""0735217688""","=""9780735217683""",0,4.02,Riverhead Books,Hardcover,276,2017,2017,,2025/09/12,to-read,to-read (#327),to-read,,,,0,0
194740,The Setting Sun,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""0811200329""","=""9780811200325""",0,3.97,New Directions,Paperback,175,1968,1947,,2025/09/11,to-read,to-read (#326),to-read,,,,0,0
14028,Snow Country,Yasunari Kawabata,"Kawabata, Yasunari",Edward G. Seidensticker,"=""0679761047""","=""9780679761044""",0,3.57,Vintage,Paperback,175,1996,1948,,2025/09/11,to-read,to-read (#325),to-read,,,,0,0
464261,"Spring Snow (The Sea of Fertility, #1)",Yukio Mishima,"Mishima, Yukio",,"=""0679722416""","=""9780679722410""",0,4.16,Vintage,Paperback,389,1990,1967,,2025/09/11,to-read,to-read (#324),to-read,,,,0,0
60353768,The Marriage Portrait,Maggie O'Farrell,"O'Farrell, Maggie",,"=""""","=""""",0,4.00,Knopf Publishing Group,Hardcover,355,2022,2022,,2025/09/09,to-read,to-read (#323),to-read,,,,0,0
222259187,Oxford Soju Club,Jinwoo Park,"Park, Jinwoo",,"=""1459755103""","=""9781459755109""",0,3.70,Dundurn Press,Paperback,232,2025,,,2025/09/07,to-read,to-read (#322),to-read,,,,0,0
61070523,For She Is Wrath,Emily  Varga,"Varga, Emily",,"=""1250877385""","=""9781250877383""",0,3.63,Wednesday Books,Hardcover,389,2024,2024,,2025/08/15,to-read,to-read (#321),to-read,,,,0,0
59645282,"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,"Bouchet, Amanda",,"=""1728251133""","=""9781728251134""",0,3.96,Sourcebooks Casablanca,Paperback,445,2022,2016,,2025/08/09,to-read,to-read (#320),to-read,,,,0,0
211081101,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975189""","=""9780593975183""",0,4.04,Del Rey,Paperback,448,2024,2018,,2025/08/09,to-read,to-read (#319),to-read,,,,0,0
219268963,"This Monster of Mine (This Monster of Mine, #1)",Shalini Abeysekara,"Abeysekara, Shalini",,"=""145495809X""","=""9781454958093""",0,4.12,Union Square & Co.,Paperback,416,2025,2025,,2025/08/09,to-read,to-read (#318),to-read,,,,0,0
58950705,"The Stardust Thief (The Sandsea Trilogy, #1)",Chelsea Abdullah,"Abdullah, Chelsea",,"=""0316368768""","=""9780316368766""",0,3.99,Orbit,Hardcover,468,2022,2022,,2025/08/09,to-read,to-read (#317),to-read,,,,0,0
36679274,"Sword Catcher (The Chronicles of Castellane, #1)",Cassandra Clare,"Clare, Cassandra",,"=""0525619992""","=""9780525619994""",0,3.82,Del Rey Books,Hardcover,624,2023,2023,,2025/08/08,to-read,to-read (#316),to-read,,,,0,0
36492488,"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,"Faizal, Hafsah",,"=""0374311544""","=""9780374311544""",0,3.87,"Farrar, Straus and Giroux",Hardcover,472,2019,2019,,2025/08/08,to-read,to-read (#315),to-read,,,,0,0
57390604,As Long as the Lemon Trees Grow,Zoulfa Katouh,"Katouh, Zoulfa",,"=""0316351377""","=""9780316351379""",0,4.46,"Little, Brown Books for Young Readers",Hardcover,417,2022,2022,,2025/08/07,to-read,to-read (#314),to-read,,,,0,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",0,3.82,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,,2025/08/07,to-read,to-read (#313),to-read,,,,0,0
57022919,The Heir and the Spare,Kate Stradling,"Stradling, Kate",,"=""""","=""""",2,4.13,Eulalia Skye Press,Kindle Edition,300,2021,2021,2025/08/07,2025/08/07,2025,2025 (#4),read,why were the antagonists so cartoonishly evil... i couldn't take them seriously at all lmfao<br/>also all the characters were kinda flat and i only liked the cousin. the plot was incredibly rushed but easy read,,,1,0
191755077,"Trial of the Sun Queen (Artefacts of Ouranos, #1)",Nisha J. Tuli,"Tuli, Nisha J.",,"=""1538767481""","=""9781538767481""",0,3.89,Forever,Paperback,400,2023,2023,,2025/08/06,to-read,to-read (#312),to-read,,,,0,0
61288500,"To Poison a King (Heirs of Isla, #1)",S.G. Prince,"Prince, S.G.",,"=""""","=""""",3,4.14,Summerhold Publishing ,Kindle Edition,434,2023,2023,2025/08/06,2025/08/01,2025,2025 (#3),read,"i havent read a book this fervently in so long, it was so easy to be drawn into the plot and great narration. and the main characters were written very well, especially selene. i loved reading through her voice and adored her as a main character. <br/><br/>this wouldve easily been a 4 or even 4.5 star if it weren’t for Two things…. One, the weird asf age gap.  although the romance is just a subplot, it’s still written about significantly so this was hard to ignore. i get why she had to be young at the start of the story but i dont get why he had to be so much older. completely unnecessary, and it made me so angry bc i loved the two characters and their dynamic but i couldnt root for them knowing he knew her since she was FOURTEEN…. i had to fully delude and gaslight myself into thinking he wasn’t that much older so my reading experience could be better, but regardless for that reason i deduct a star. Also i have a small bone to pick with the ending…. it felt kinda rushed considering how big of a moment it was. The decision was made in a second and then they just moved on and then the book ended in another two pages. it felt a little sloppy and could’ve been written better and deeper considering the fact that the most of the book up until the very end, especially the first half, was written really well.<br/><br/>Anyway, overall great read if u have the ability to gaslight yourself into believing the characters are the ages you choose",true,,1,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",4,4.20,Warner,Paperback,210,2000,1997,2025/05/17,2025/01/07,2025,2025 (#2),read,,,,1,0
75715117,Sunburn,Chloe Michelle Howarth,"Howarth, Chloe Michelle",,"=""0857308416""","=""9780857308412""",0,4.29,VERVE Books,Paperback,288,2023,2023,,2025/07/27,to-read,to-read (#311),to-read,,,,0,0
206305528,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.28,Doubleday,Hardcover,404,2024,2022,,2025/05/19,to-read,to-read (#310),to-read,,,,0,0
216470349,A Crane Among Wolves,June Hur,"Hur, June",,"=""1250858089""","=""9781250858085""",0,3.96,Square Fish,Paperback,384,2025,2024,,2025/04/27,to-read,to-read (#309),to-read,,,,0,0
210395729,Our Infinite Fates,Laura   Steven,"Steven, Laura",,"=""1250333881""","=""9781250333889""",0,3.67,Wednesday Books,Hardcover,352,2025,2025,,2025/04/25,to-read,to-read (#308),to-read,,,,0,0
60581370,"The Jasad Heir (The Scorched Throne, #1)",Sara  Hashem,"Hashem, Sara",,"=""0316477869""","=""9780316477864""",0,4.04,Orbit Books,Paperback,523,2023,2023,,2025/04/23,to-read,to-read (#307),to-read,,,,0,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",0,4.33,Scribner,Paperback,288,2006,2005,,2025/04/23,to-read,to-read (#306),to-read,,,,0,0
454236,Miracle in the Andes: 72 Days on the Mountain and My Long Trek Home,Nando Parrado,"Parrado, Nando",Vince Rause,"=""""","=""""",0,4.37,Broadway Books,Paperback,304,2007,2006,,2025/04/22,to-read,to-read (#305),to-read,,,,0,0
4935,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",David McDuff,"=""0140449248""","=""9780140449242""",0,4.39,Penguin Books Ltd,Paperback,1013,2003,1880,,2025/04/21,to-read,to-read (#304),to-read,,,,0,0
101143330,"The Way I Am Now (The Way I Used to Be, #2)",Amber   Smith,"Smith, Amber",,"=""1665947101""","=""9781665947107""",3,4.09,Margaret K. McElderry Books,Hardcover,432,2023,2023,2025/03/15,2025/03/20,2025,2025 (#1),read,,,,1,0
6234638,The Fall of the House of Usher,Edgar Allan Poe,"Poe, Edgar Allan",,"=""""","=""""",0,3.85,Public Domain Books,Kindle Edition,256,1997,1839,,2025/04/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
58650445,"Heavenly Bodies (Heavenly Bodies, #1)",Imani Erriu,"Erriu, Imani",,"=""""","=""""",0,3.99,,Paperback,619,2022,2022,,2025/03/26,to-read,to-read (#303),to-read,,,,0,0
91981,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,"Williams, Tad",,"=""0756402697""","=""9780756402693""",0,3.97,DAW,Paperback,672,2005,1988,,2025/02/16,to-read,to-read (#302),to-read,,,,0,0
211742041,"The Rose Bargain (The Rose Bargain, #1)",Sasha Peyton Smith,"Smith, Sasha Peyton",,"=""0063372525""","=""9780063372528""",0,3.93,HarperCollins,Hardcover,389,2025,2025,,2025/02/15,to-read,to-read (#301),to-read,,,,0,0
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0062678108""","=""9780062678102""",0,4.14,Harper Voyager,Hardcover,532,2017,2017,,2025/02/09,to-read,to-read (#300),to-read,,,,0,0
209220917,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0008511683""","=""9780008511685""",0,3.46,Fourth Estate,Paperback,464,2024,2017,,2025/01/08,to-read,to-read (#299),to-read,,,,0,0
34303467,Madonna in a Fur Coat,Sabahattin Ali,"Ali, Sabahattin","Maureen Freely, Alexander Dawe","=""1590518802""","=""9781590518809""",0,4.36,Other Press,Paperback,208,2017,1943,,2025/01/08,to-read,to-read (#298),to-read,,,,0,0
212679091,A Magic Steeped in Poison,Judy I. Lin,"Lin, Judy I.",,"=""1250357136""","=""9781250357137""",0,3.81,Square Fish,Paperback,400,2024,2022,,2025/01/07,to-read,to-read (#297),to-read,,,,0,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",0,4.60,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2025/01/06,to-read,to-read (#296),to-read,,,,0,0
41952489,"The Rage of Dragons (The Burning, #1)",Evan Winter,"Winter, Evan",,"=""031648976X""","=""9780316489768""",0,4.31,Orbit,Hardcover,535,2019,2017,,2025/01/04,to-read,to-read (#295),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2024/12/25,to-read,to-read (#294),to-read,,,,0,0
36885304,Flights,Olga Tokarczuk,"Tokarczuk, Olga",Jennifer  Croft,"=""0525534199""","=""9780525534198""",0,3.75,Riverhead Books,Hardcover,416,2018,2007,,2024/12/25,to-read,to-read (#293),to-read,,,,0,0
58132544,"A River Enchanted (Elements of Cadence, #1)",Rebecca   Ross,"Ross, Rebecca",,"=""0063055988""","=""9780063055988""",0,4.06,Harper Voyager,Hardcover,467,2022,2022,,2024/12/22,to-read,to-read (#292),to-read,,,,0,0
208430658,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""0593873351""","=""9780593873359""",0,4.36,Del Rey,Hardcover,430,2024,2023,,2024/11/10,to-read,to-read (#291),to-read,,,,0,0
61431953,"Bloodguard (Old Erth, #1)",Cecy Robson,"Robson, Cecy",,"=""1649374054""","=""9781649374059""",0,3.60,"Entangled Publishing, LLC (Red Tower Books)",Hardcover,448,2024,2024,,2024/11/10,to-read,to-read (#290),to-read,,,,0,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,"=""0385755880""","=""9780385755887""",0,4.11,Knopf,Hardcover,388,2015,2015,,2024/11/10,to-read,to-read (#289),to-read,,,,0,0
63325346,"The Phoenix King (The Ravence Trilogy, #1)",Aparna Verma,"Verma, Aparna",,"=""0316522775""","=""9780316522779""",0,3.66,Orbit,Kindle Edition,513,2023,2023,,2024/11/05,to-read,to-read (#288),to-read,,,,0,0
53549678,These Violent Delights,Micah Nemerever,"Nemerever, Micah",,"=""""","=""""",0,3.93,Harper,Kindle Edition,463,2020,2020,,2022/06/01,to-read,to-read (#218),to-read,,,,0,0
35209237,Foolish Hearts,Emma   Mills,"Mills, Emma",,"=""1627799389""","=""9781627799386""",0,4.11,Henry Holt and Co.,Kindle Edition,317,2025,2017,,2021/10/29,to-read,to-read (#164),to-read,,,,0,0
208964524,The Drowning Province,Celine Harvelle,"Harvelle, Celine",,"=""""","=""9798223514060""",0,3.80,Self-Published,Kindle Edition,533,2024,,,2024/08/25,to-read,to-read (#287),to-read,,,,0,0
174057601,"Us Dark Few (Us Dark Few, #1)",Alexis Patton,"Patton, Alexis",,"=""""","=""9798988117803""",0,3.84,Alexis Patton,Kindle Edition,321,2023,,,2024/08/11,to-read,to-read (#286),to-read,,,,0,0
23546634,"The Way I Used to Be (The Way I Used to Be, #1)",Amber   Smith,"Smith, Amber",,"=""""","=""""",0,4.14,Margaret K. McElderry Books,Kindle Edition,385,2016,2016,2024/08/04,2024/04/01,2024,2024 (#8),read,,,,1,0
122750282,Deathmark,Kate Stradling,"Stradling, Kate",,"=""""","=""""",0,4.37,Eulalia Skye Press,Kindle Edition,320,2023,2023,,2024/07/29,to-read,to-read (#285),to-read,,,,0,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2024/07/28,to-read,to-read (#284),to-read,,,,0,0
58340705,"The Blighted Stars (The Devoured Worlds, #1)",Megan E. O'Keefe,"O'Keefe, Megan E.",,"=""0316290793""","=""9780316290791""",0,4.09,Orbit,Paperback,491,2023,2023,,2024/07/20,to-read,to-read (#283),to-read,,,,0,0
196219692,"Taming 7 (Boys of Tommen, #5)",Chloe Walsh,"Walsh, Chloe",,"=""""","=""""",1,4.33,Bloom Books,Kindle Edition,464,2024,2024,2024/07/12,2024/07/15,2024,2024 (#7),read,"i would actually rather eat dog shit than ever read claires pov again. im fully convinced that chloe walsh hired a ghost writer for joeys books because there’s actually no way<br/><br/>(since goodreads doesn’t let me rate a book 0, i have no choice but to rate this higher than it deserves)",,,1,0
29589074,"Truly, Devious (Truly Devious, #1)",Maureen Johnson,"Johnson, Maureen",,"=""""","=""""",0,3.89,HarperCollins,Hardcover,416,2018,2018,,2024/07/04,to-read,to-read (#282),to-read,,,,0,0
182484360,The Reappearance of Rachel Price,Holly  Jackson,"Jackson, Holly",,"=""0593374207""","=""9780593374207""",0,4.09,Delacorte Press,Hardcover,438,2024,2024,,2024/07/04,to-read,to-read (#281),to-read,,,,0,0
40024139,"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,"Mahurin, Shelby",,"=""""","=""""",0,3.97,HarperTeen,Hardcover,513,2019,2019,,2024/07/01,to-read,to-read (#280),to-read,,,,0,0
123984472,"Redeeming 6 (Boys of Tommen, #4)",Chloe Walsh,"Walsh, Chloe",,"=""""","=""9798387944475""",4,4.64,Independently published,Paperback,774,2023,2023,2024/06/25,2024/06/25,2024,2024 (#6),read,stabbing myself in the eye repeatedly would give me the same experience as reading this,,,1,0
60099660,If You Could See the Sun,Ann Liang,"Liang, Ann",,"=""1335915842""","=""9781335915849""",0,3.99,Inkyard Press,Hardcover,346,2022,2022,,2024/06/21,to-read,to-read (#279),to-read,,,,0,0
109463947,"Saving 6 (Boys of Tommen, #3)",Chloe Walsh,"Walsh, Chloe",,"=""0463996860""","=""9780463996867""",3,4.46,Chloe Walsh,ebook,725,2023,2023,2024/06/17,2024/06/17,2024,2024 (#5),read,,,,1,0
198404761,"Keeping 13 (Boys of Tommen, #2)",Chloe Walsh,"Walsh, Chloe",,"=""0349439273""","=""9780349439273""",2,4.52,Piatkus,Paperback,802,2023,2018,2024/06/13,2024/06/13,2024,2024 (#4),read,"one more star than the first book because MORE JOEY!! my absolute favorite, this was just a glimpse of his story and im already crying<br/><br/>its actually crazy hard to believe the author wrote him bc he’s the only good part of the 900 pgs and pretty much everything else is ass",,,1,0
144414533,"Binding 13 (Boys of Tommen, #1)",Chloe Walsh,"Walsh, Chloe",,"=""0349439249""","=""9780349439242""",1,4.45,Piatkus,Kindle Edition,628,2023,2018,2024/06/08,2024/06/08,2024,2024 (#3),read,2 stars for my king joey only but -1 BECAUSE HES BARELY EVEN IN THIS,,,1,0
59542930,Manacled,SenLinYu,"SenLinYu, SenLinYu",,"=""""","=""""",0,4.63,,ebook,7475,,2019,2024/03/09,2024/03/10,2024,2024 (#2),read,look away idk how i ended up here,,,1,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",4,4.06,Flatiron Books,Hardcover,408,2021,2021,2024/04/19,2024/04/19,2024,2024 (#1),read,(br with kara) the evajacks brainrot is severe,,,1,0
203578730,A Song to Drown Rivers,Ann Liang,"Liang, Ann",,"=""1250289467""","=""9781250289469""",0,3.86,St. Martin's Press,Hardcover,325,2024,2024,,2024/04/04,to-read,to-read (#278),to-read,,,,0,0
